AppName,Enabled,Removed
accessibility,false,false
activity,false,false
admin_audit,false,false
calendar,true,false
circles,false,false
cloud_federation_api,true,false
comments,true,false
contactsinteraction,true,false
dashboard,false,false
dav,true,false
documentserver_community,false,false
encryption,false,false
federatedfilesharing,true,false
federation,false,false
files,true,false
files_external,true,false
files_pdfviewer,true,false
files_rightclick,true,false
files_sharing,true,false
files_trashbin,true,false
files_versions,true,false
files_videoplayer,true,false
firstrunwizard,false,false
logreader,true,false
lookup_server_connector,true,false
nextcloud_announcements,false,false
notifications,true,false
oauth2,true,false
onlyoffice,true,false
password_policy,true,false
photos,true,false
privacy,true,false
provisioning_api,true,false
recommendations,false,false
serverinfo,true,false
settings,true,false
sharebymail,true,false
support,false,false
survey_client,false,false
systemtags,true,false
text,true,false
tasks,false,false
theming,false,false
twofactor_backupcodes,true,false
updatenotification,true,false
user_ldap,false,false
user_status,true,false
viewer,true,false
weather_status,false,false
workflowengine,true,false
